Patroon,Categorie,Subcategorie,Notitie
Albert Heijn,Boodschappen,Supermarkt,
Jumbo,Boodschappen,Supermarkt,
Lidl,Boodschappen,Supermarkt,
Aldi,Boodschappen,Supermarkt,
Etos,Boodschappen,Drogist,
Kruidvat,Boodschappen,Drogist,
Shell,Vervoer,Brandstof,
BP,Vervoer,Brandstof,
Esso,Vervoer,Brandstof,
NS,Vervoer,Openbaar vervoer,
OV-chipkaart,Vervoer,Openbaar vervoer,
Ziggo,Abonnementen,Internet/TV,
KPN,Abonnementen,Internet/TV,
T-Mobile,Abonnementen,Mobiel,
Vodafone,Abonnementen,Mobiel,
Netflix,Abonnementen,Entertainment,
Spotify,Abonnementen,Entertainment,
Amazon,Online shopping,,
Bol.com,Online shopping,,
Coolblue,Online shopping,,
Mediamarkt,Elektronica,,
Huur,Wonen,Huur,
Energie,Wonen,Nutsvoorzieningen,
Waternet,Wonen,Nutsvoorzieningen,
Ikea,Wonen,Inrichting,
Apotheek,Gezondheid,Medisch,
Huisarts,Gezondheid,Medisch,
Tandarts,Gezondheid,Medisch,
Ziekenhuis,Gezondheid,Medisch,
Zorgverzekering,Verzekeringen,Zorg,
Restaurant,Horeca,Restaurant,
Cafe,Horeca,Cafe,
McDonald,Horeca,Fast food,
Burger King,Horeca,Fast food,
KFC,Horeca,Fast food,
Salaris,Inkomsten,Salaris,
Terugstorting,Inkomsten,Terugbetaling,
