Patroon,Categorie,Subcategorie,Notitie
Albert Heijn,Boodschappen,Supermarkt,Nederlandse supermarktketen
AH,Boodschappen,Supermarkt,Albert Heijn afkorting
Jumbo,Boodschappen,Supermarkt,
Lidl,Boodschappen,Supermarkt,
Aldi,Boodschappen,Supermarkt,
Dirk,Boodschappen,Supermarkt,Dirk van den Broek
Plus,Boodschappen,Supermarkt,
Coop,Boodschappen,Supermarkt,
Spar,Boodschappen,Supermarkt,
Vomar,Boodschappen,Supermarkt,
Etos,Boodschappen,Drogist,
Kruidvat,Boodschappen,Drogist,
DA,Boodschappen,Drogist,Drogisterij DA
Shell,Vervoer,Brandstof,
BP,Vervoer,Brandstof,
Esso,Vervoer,Brandstof,
Total,Vervoer,Brandstof,
Texaco,Vervoer,Brandstof,
Tango,Vervoer,Brandstof,
NS,Vervoer,Openbaar vervoer,Nederlandse Spoorwegen
OV-chipkaart,Vervoer,Openbaar vervoer,
OV-Chip,Vervoer,Openbaar vervoer,
GVB,Vervoer,Openbaar vervoer,Amsterdams OV
RET,Vervoer,Openbaar vervoer,Rotterdams OV
HTM,Vervoer,Openbaar vervoer,Haags OV
Parkeren,Vervoer,Parkeren,
Parking,Vervoer,Parkeren,
Ziggo,Abonnementen,Internet/TV,
KPN,Abonnementen,Internet/TV,
T-Mobile,Abonnementen,Mobiel,
Vodafone,Abonnementen,Mobiel,
Tele2,Abonnementen,Mobiel,
Simyo,Abonnementen,Mobiel,
Netflix,Abonnementen,Entertainment,
Spotify,Abonnementen,Entertainment,
Disney+,Abonnementen,Entertainment,
YouTube Premium,Abonnementen,Entertainment,
Amazon Prime,Abonnementen,Entertainment,
Videoland,Abonnementen,Entertainment,
Amazon,Online shopping,,
Bol.com,Online shopping,,
Coolblue,Online shopping,,
Wehkamp,Online shopping,,
Zalando,Online shopping,,
MediaMarkt,Elektronica,,
Saturn,Elektronica,,
BCC,Elektronica,,
Mediamarkt,Elektronica,,
Huur,Wonen,Huur,
Hypotheek,Wonen,Hypotheek,
Energie,Wonen,Nutsvoorzieningen,
Essent,Wonen,Nutsvoorzieningen,
Eneco,Wonen,Nutsvoorzieningen,
Vattenfall,Wonen,Nutsvoorzieningen,
Greenchoice,Wonen,Nutsvoorzieningen,
Waternet,Wonen,Nutsvoorzieningen,
Nuon,Wonen,Nutsvoorzieningen,
Ikea,Wonen,Inrichting,
IKEA,Wonen,Inrichting,
Karwei,Wonen,Bouwmarkt,
Praxis,Wonen,Bouwmarkt,
Gamma,Wonen,Bouwmarkt,
Hornbach,Wonen,Bouwmarkt,
Apotheek,Gezondheid,Medisch,
Huisarts,Gezondheid,Medisch,
Tandarts,Gezondheid,Medisch,
Ziekenhuis,Gezondheid,Medisch,
Fysio,Gezondheid,Medisch,
Fysiotherapie,Gezondheid,Medisch,
Zorgverzekering,Verzekeringen,Zorg,
Zilveren Kruis,Verzekeringen,Zorg,
CZ,Verzekeringen,Zorg,
VGZ,Verzekeringen,Zorg,
Menzis,Verzekeringen,Zorg,
Achmea,Verzekeringen,Algemeen,
OHRA,Verzekeringen,Auto,
Centraal Beheer,Verzekeringen,Algemeen,
Restaurant,Horeca,Restaurant,
Cafe,Horeca,Cafe,
Café,Horeca,Cafe,
Bar,Horeca,Bar,
Bakker,Horeca,Bakkerij,
McDonald,Horeca,Fast food,
Burger King,Horeca,Fast food,
KFC,Horeca,Fast food,
Subway,Horeca,Fast food,
Dominos,Horeca,Fast food,
Pizza Hut,Horeca,Fast food,
Thuisbezorgd,Horeca,Bezorging,
Uber Eats,Horeca,Bezorging,
Deliveroo,Horeca,Bezorging,
Action,Winkels,Gemengd,
Hema,Winkels,Warenhuis,
V&D,Winkels,Warenhuis,
Bijenkorf,Winkels,Warenhuis,
Salaris,Inkomsten,Salaris,
Loon,Inkomsten,Salaris,
Belasting,Inkomsten,Belastingteruggave,
Terugstorting,Inkomsten,Terugbetaling,
Retour,Inkomsten,Terugbetaling,
Interest,Inkomsten,Rente,
Dividend,Inkomsten,Beleggingen,
Gift,Inkomsten,Schenking,
Kapper,Persoonlijke verzorging,,
Fitness,Sport,Sportschool,
Sportschool,Sport,Sportschool,
Basic-Fit,Sport,Sportschool,
Boekhandel,Vrije tijd,Boeken,
Bioscoop,Vrije tijd,Entertainment,
Pathé,Vrije tijd,Bioscoop,
Kinepolis,Vrije tijd,Bioscoop,
Uitje,Vrije tijd,Entertainment,
Museum,Vrije tijd,Cultuur,
Concert,Vrije tijd,Cultuur,
Theater,Vrije tijd,Cultuur,
